1	1	1	2	4	1	1	1	2021	0	1	0	1	0	3	2	3	1	1	2	1	0	0	0	1	0	0	3	3	3	1	3	0	0	1	0	0	0	0	2	1	1	2	2	3	3
2	1	2	4	3	1	2	1	2020	1	1	0	0	0	2	3	2	1	1	2	0	1	1	0	0	0	0	3	3	3	1	3	0	0	1	0	0	0	0	2	1	2	2	2	3	3
3	1	2	2	4	1	2	1	2020	1	0	0	0	0	2	1	3	1	1	3	0	1	0	0	0	0	0	2	2	2	1	3	1	0	1	0	0	0	0	2	1	1	2	1	3	2
4	2	4	4	3	3	2	1	2021	1	1	0	0	0	4	3	4	1	1	4	1	0	1	0	0	0	0	4	4	4	1	4	1	1	1	0	0	0	0	4	2	3	3	1	3	4
5	2	3	1	2	1	2	1	2019	1	1	0	0	0	2	2	2	1	1	3	0	0	0	1	0	0	0	3	3	2	0	1	1	1	1	0	0	0	0	2	1	1	3	3	3	3
6	2	3	3	3	1	2	1	2021	0	0	0	0	1	2	2	2	1	1	3	1	0	0	0	0	0	0	2	2	2	1	3	0	0	0	0	0	1	0	2	3	1	3	1	3	3
7	1	4	4	4	3	4	0	2022	0	0	0	1	0	3	2	3	1	1	3	1	0	0	0	0	0	0	3	2	2	1	2	1	0	0	0	1	0	0	2	1	1	3	1	3	3
8	2	1	3	4	1	2	1	2021	0	0	0	0	1	3	2	2	1	1	3	0	0	0	1	0	0	0	2	2	2	1	3	1	0	1	0	0	0	0	2	1	1	2	1	3	3
9	2	3	2	2	1	4	0	2020	0	1	1	0	0	3	3	3	1	1	4	1	0	0	0	0	0	0	3	3	2	1	3	1	1	1	0	0	0	0	3	2	2	2	2	3	3
10	2	2	2	2	1	3	1	2022	1	0	0	0	0	2	2	2	1	1	2	0	1	0	0	0	0	0	2	2	2	1	2	1	0	1	0	0	0	0	2	1	1	2	2	2	2
11	2	2	3	3	1	2	0	2020	0	1	0	0	0	2	1	2	1	1	3	1	0	0	0	0	0	0	2	2	2	1	2	1	0	0	0	0	1	0	2	1	2	2	1	3	3
12	2	1	3	4	1	1	0	2021	0	0	0	0	1	2	1	1	1	1	2	0	0	0	0	0	1	0	2	2	1	1	1	0	0	0	0	0	1	0	2	1	1	2	1	1	2
13	2	1	4	4	1	2	0	2020	0	0	0	0	1	3	2	2	1	0	2	0	0	0	0	0	1	0	2	2	2	1	2	0	0	0	0	0	0	1	1	1	1	1	1	1	2
14	2	2	4	4	1	3	0	2021	0	0	0	1	0	2	2	2	1	1	3	0	1	0	0	0	0	0	3	2	2	1	3	1	0	1	0	0	0	0	2	1	2	2	1	3	2
15	2	4	3	2	4	2	1	2021	0	0	0	1	0	3	2	2	1	1	3	0	0	0	1	0	0	0	3	3	3	1	3	1	0	0	0	1	0	0	2	1	2	3	1	3	3
